actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-88.01671615600586,200,82000,37.07872163772583,560,363.70084604314667,200.0,363.700846,65,82000,181,82000
-89.09801322937011,200,82400,36.62543285369873,562,548.338740641895,200.0,548.338741,65,82400,182,82400
-90.50436012268067,200,82800,35.74843725204468,564,513.1610083752627,200.0,513.161008,65,82800,183,82800
-90.83618278503418,200,83200,36.810991544723514,566,628.4046480190418,200.0,628.404648,65,83200,184,83200
-91.48442527770996,200,83600,37.416245517730715,568,273.9797115708336,200.0,273.979712,65,83600,185,83600
-92.11508438110351,200,84000,36.620855751037595,570,569.7810529137178,200.0,569.781053,65,84000,186,84000
-93.17325340270996,200,84400,37.790531139373776,572,351.803420475032,200.0,351.80342,65,84400,187,84400
-93.33776351928711,200,84800,36.54673734664917,574,514.611139474479,200.0,514.611139,65,84800,188,84800
-93.52901473999023,200,85200,37.137327451705936,576,354.4599964841876,200.0,354.459996,65,85200,189,85200
-94.06195343017578,200,85600,38.348243894577024,578,544.5344792192411,200.0,544.534479,65,85600,190,85600
-94.24801109313965,200,86000,36.981387042999266,580,660.6302368427864,200.0,660.630237,65,86000,191,86000
-96.36125869750977,200,86400,38.634552507400514,582,532.5566331180077,200.0,532.556633,65,86400,192,86400
-96.89131896972657,200,86800,38.66369805335999,584,538.2097197997068,200.0,538.20972,65,86800,193,86800
-96.49269027709961,200,87200,37.99128503799439,586,552.5771088706349,200.0,552.577109,65,87200,194,87200
-97.30737022399903,200,87600,39.87113243579864,588,362.5874351551303,200.0,362.587435,65,87600,195,87600
-98.06818092346191,200,88000,40.480385866165165,590,490.00092789779364,200.0,490.000928,65,88000,196,88000
-98.97952919006347,200,88400,39.82713921546936,592,489.5293592132054,200.0,489.529359,65,88400,197,88400
-98.55374214172363,200,88800,39.67476832389831,594,445.5530708799654,200.0,445.553071,65,88800,198,88800
-98.52377349853515,200,89200,37.959717226028445,596,530.0339031760772,200.0,530.033903,65,89200,199,89200
-99.48983283996581,200,89600,41.3518053150177,598,357.86338314805073,200.0,357.863383,65,89600,200,89600
-101.20905220031739,200,90000,38.55368925094604,600,562.1521477081915,200.0,562.152148,65,90000,201,90000
-100.87509536743164,200,90400,40.503602781295776,602,410.3470961656682,200.0,410.347096,64,90400,202,90400
-101.28214630126953,200,90800,38.884152765274045,604,596.0254206590173,200.0,596.025421,64,90800,203,90800
-102.05359176635743,200,91200,41.11903819084168,606,411.0259078751227,200.0,411.025908,64,91200,204,91200
-102.59788917541503,200,91600,41.5084425163269,608,379.26677230631356,200.0,379.266772,64,91600,205,91600
-102.91081466674805,200,92000,40.460838060379025,610,553.69966984484,200.0,553.69967,64,92000,206,92000
-103.98970642089844,200,92400,40.370331354141236,612,641.2135687423572,200.0,641.213569,64,92400,207,92400
-104.28916145324708,200,92800,42.50421178817749,614,421.3506074303175,200.0,421.350607,64,92800,208,92800
-104.47053489685058,200,93200,41.07567844390869,616,453.75301804554925,200.0,453.753018,64,93200,209,93200
-104.34695724487305,200,93600,41.234941263198856,618,397.51939560570804,200.0,397.519396,64,93600,210,93600
-105.47613929748535,200,94000,42.270678539276126,620,511.3000041465768,200.0,511.300004,64,94000,211,94000
-105.64985885620118,200,94400,43.913311862945555,622,374.8820824520012,200.0,374.882082,64,94400,212,94400
-106.4087239074707,200,94800,37.03531841278076,624,205.51494942477524,200.0,205.514949,64,94800,213,94800
-106.0884610748291,200,95200,41.691240005493164,626,328.83395630409126,200.0,328.833956,64,95200,214,95200
-106.45631103515625,200,95600,43.735817966461184,628,447.5468868709569,200.0,447.546887,64,95600,215,95600
-106.775737991333,200,96000,43.49750645637512,630,319.3971317750129,200.0,319.397132,64,96000,216,96000
-105.95570533752442,200,96400,44.41333338737488,632,379.3543515460846,200.0,379.354352,64,96400,217,96400
-106.42774047851563,200,96800,44.27691933631897,634,389.09554160371476,200.0,389.095542,64,96800,218,96800
-107.52398788452149,200,97200,44.63537293434143,636,548.0486836191361,200.0,548.048684,64,97200,219,97200
-108.2690242767334,200,97600,44.96890843391419,638,352.29495376290714,200.0,352.294954,64,97600,220,97600
-108.93720344543458,200,98000,46.13014729499817,640,486.13188553035116,200.0,486.131886,64,98000,221,98000
-108.58222236633301,200,98400,45.42539102554321,642,385.15651104996994,200.0,385.156511,64,98400,222,98400
-110.01541137695312,200,98800,44.63550387382507,644,571.7558812129927,200.0,571.755881,64,98800,223,98800
-109.61451988220215,200,99200,45.750651817321774,646,679.8733884857039,200.0,679.873388,64,99200,224,99200
-111.04027160644532,200,99600,46.01692964553833,648,419.709026829473,200.0,419.709027,64,99600,225,99600
-111.13987536621094,250,100000,45.47082421112061,650,564.5416124483246,200.0,564.541612,64,100000,226,100000
-111.33762969970704,250,100400,45.31291999053955,652,422.7411380560544,200.0,422.741138,63,100400,227,100400
-111.64960906982422,250,100800,48.31593012237549,654,284.00647796979547,200.0,284.006478,63,100800,228,100800
-112.98612854003906,250,101200,44.95231322479248,656,392.1073122346241,200.0,392.107312,63,101200,229,101200
-112.27622680664062,250,101600,46.35829041290283,658,627.6106460677629,200.0,627.610646,63,101600,230,101600
-113.16075708007813,250,102000,45.54281787109375,660,566.4478164651091,200.0,566.447816,63,102000,231,102000
-114.57951904296876,250,102400,45.62095816802979,662,545.462389352712,200.0,545.462389,63,102400,232,102400
-115.51089093017578,250,102800,44.009443222045896,664,434.3926993426096,200.0,434.392699,63,102800,233,102800
-114.80897772216797,250,103200,44.86956865692139,666,444.5429730327996,200.0,444.542973,63,103200,234,103200
-115.81447180175782,250,103600,46.66078344726562,668,591.6725195930106,200.0,591.67252,63,103600,235,103600
-116.31917791748047,250,104000,47.45439591217041,670,535.4945408733274,200.0,535.494541,63,104000,236,104000
-116.72810028076172,250,104400,44.73783542633057,672,549.059135810158,200.0,549.059136,63,104400,237,104400
-116.02097863769531,250,104800,46.60611849212646,674,571.6623665667677,200.0,571.662367,62,104800,238,104800
-118.36445275878906,250,105200,46.25035687255859,676,377.17011055173396,200.0,377.170111,62,105200,239,105200
