Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.47477785,0.43916088,40.976803,4.0976806,269.4925,87.43249,-376.57394,377.60553,121.765945,605.5589,-84.64818,378.72626,124.2398,602.6632,-109.04567,-0.79475576,2.1752357,8.938074,-8.020779,0.0015725452,0.75232726,3.0233178,-2.7439368,-0.61330134,0.10197562,-0.22328258,-1.0974641,0.5435152,0.19691458,313.91149458182105,367.0521279559382,190.48405462753638,64000,64400,0,121.53868716501165,9.887520143995062,2.411589488037862,133.83779679704458,4218.618264453136,31
0.66070855,0.45593682,55.69069,5.569069,239.90436,81.03955,-276.54333,277.59088,149.68655,703.58606,-103.70875,278.82553,150.13737,697.75165,-89.92472,-0.79201674,2.3693988,11.368856,-9.445044,0.074262306,0.806015,4.126638,-3.217856,-0.5276918,0.10556325,-0.10540587,-1.0007266,0.6090182,0.24058326,359.2588703323476,330.0078793230219,209.38791373870276,66000,66400,0,121.1549894020427,9.52585685509257,2.3255462649976835,133.00639252213296,4352.921381656197,32
0.6012002,0.61226225,65.49912,6.5499125,193.32257,59.296772,-226.9751,218.56467,71.61431,481.12793,-111.85837,224.42825,70.306046,484.6231,-96.53178,-0.5994624,2.5159357,12.231947,-7.9315557,0.047010515,0.83289003,3.4025514,-3.541125,-0.5562791,0.10705558,-0.18436599,-0.9844786,0.3905302,0.075588994,-0.9661685536903164,-6.349628037104409,29.237266466724016,68000,68400,0,121.19823467999231,10.821933223982342,2.507398425252177,134.52756632922683,4485.813126596273,33
1.2609905,0.20658985,75.949104,7.5949106,67.18481,23.620455,-202.0435,198.98177,42.1987,355.6387,-129.60579,201.54797,41.58739,353.2196,-125.71698,-2.1884005,1.8741796,7.200849,-9.771432,0.027878635,0.6156807,2.7080498,-2.4721017,-0.40554884,0.09716866,-0.014318034,-0.8617214,0.90618503,0.0454565,22.010323731163318,-4.187637043861396,27.26545266169406,70000,70400,0,119.99711279699113,9.186359631014057,2.269083268358372,131.45255569636356,4617.485037623788,34
1.3593526,0.087487,74.20384,7.4203844,229.97273,64.79063,-227.22282,225.36751,42.66228,336.58252,-28.645407,231.35141,44.28346,347.60223,-40.46686,-2.738451,1.5727692,6.300136,-7.832127,-0.10486126,0.5131997,2.5006537,-2.9370174,-0.37729156,0.070671566,-0.05550967,-0.7400001,2.2120376,0.07689442,393.1023571287504,266.8459507314929,66.97008416719123,72000,72400,0,118.86073994706385,9.405910496017896,2.1217016672017053,130.38835211028345,4747.576096667093,35
1.0697865,0.26246256,42.545532,4.2545533,373.5862,131.1193,-329.85034,332.45117,104.77857,691.3801,42.17536,336.88687,106.84247,688.7475,14.452971,-1.9102539,2.002756,8.486694,-9.558397,0.009940332,0.62858725,2.825589,-2.7557564,-0.4928611,0.10647426,-0.11849339,-1.1574537,2.0883908,0.07118048,35.3790272634214,25.059944024927262,179.97727608776322,74000,74400,0,120.64675344608258,9.108842825051397,2.305881485925056,132.06147775705904,4880.577481695102,36
3.2745342,0.14564255,202.241,20.2241,343.06448,368.5475,-294.15985,312.06293,128.07141,556.5034,-35.649757,310.49176,123.1947,536.0629,-52.290905,-1.7621425,2.0854592,6.604298,-8.3193245,0.07904062,0.6681433,2.55252,-2.6364274,-0.46753737,0.124323346,-0.06747079,-1.04615,1.1700253,0.10098143,239.01513615432518,217.70371183937146,173.6350099084319,76000,76400,0,120.09477030707058,10.04936776298564,2.3083398380549625,132.45247790811118,5012.553594253259,37
0.78118706,0.3344733,71.996735,7.1996737,220.55515,43.09803,-219.35768,207.96284,44.380894,325.43204,-117.10722,216.10371,42.953457,332.7198,-108.48139,-1.7758862,2.1567712,9.074831,-8.558545,0.11264882,0.68469936,2.6687458,-2.684061,-0.42104298,0.11168838,-0.053415447,-0.9063168,1.2010859,0.04194818,192.22655191416476,89.74850865316382,134.05930902680188,78000,78400,0,121.54362822393887,9.573610255029052,2.2788885469781235,133.39612702594604,5146.10798258509,38
1.3541323,0.12843585,103.382324,10.338233,156.14418,42.454815,-402.3323,393.55338,88.653984,536.706,-51.731388,399.75238,87.93922,536.84125,-60.863544,-2.3906293,1.6803209,4.197465,-10.748041,0.108047776,0.55640614,2.5648465,-2.1651907,-0.42271852,0.110034175,0.012409607,-0.99953735,1.3789842,0.047898144,6.249798646656133,-94.36121456173524,35.50630467258897,80000,80400,0,122.65393824700732,9.731502651935443,2.1858022280503064,134.57124312699307,5280.713687497191,39
1.7226288,0.07081698,139.88736,13.988736,102.876205,32.065002,-438.7023,434.6914,133.86472,666.853,-212.4019,440.7707,133.23674,677.27325,-182.01247,-1.508797,2.2233794,7.197909,-9.056632,0.03640168,0.71643496,2.2889895,-2.8066807,-0.45818287,0.13834678,-0.087397866,-1.1095035,1.5628593,0.050041713,33.708140123381376,-74.81205861442892,86.94121748426274,82000,82400,0,121.75990109506529,9.766235371003859,2.3537244929466397,133.8798609590158,5415.652588510071,40
